15.0;7.25
-78.9;33.6
55.12;-6.789
-0.5;0.02
0.6;-0.03
123.45;678.90
-9.876;-0.123
0.123;0.987
-67.8;45.6
99.99;-22.22
-10.5;-0.75
0.0;0.0
-3.33;7.77
100.0;-50.0
12.34;-56.78
-1.111;2.222
88.888;-99.999
-11.11;-22.22
5.55;6.66
-2.0;-0.5
0.333;0.444
-9.8;6.5
7.2;-4.6
-123.45;678.90
45.67;-32.1
-0.012;0.123
0.005;-0.006
-2.25;18.36
87.65;-43.21
5.432;-1.234
-8.765;9.876
0.001;-0.001
-0.1;0.01
0.25;-0.3
-6.7;8.9
10.0;5.0
-15.0;-7.5
123.0;-456.0
-789.0;-1234.0
0.111;0.222
-0.333;-0.444
12.345;-67.89
-45.67;-89.0
0.012;-0.123
-0.005;0.006
0.333;-0.444
-0.2;-0.02
1.5;0.75
-2.7;-1.35
0.9;0.3
-0.04;-0.08
6.25;25.0
-33.33;-66.66
44.44;-88.88
-11.0;-22.0
9.87;12.34
-1.23;0.01
0.02;-0.03
-100.0;50.0
123.123;456.456
-789.789;-1234.1234
0.1234;-0.5678
-0.1111;0.2222
1.2345;-6.7890
-45.67;89.0
0.0;0.0
-0.0123;0.1234
0.5678;-0.9876
-123.123;456.456
7.89;-12.34
-1.23;-0.01
2.02;-0.03
-1000.0;500.0
12345.678;-98765.432
-7890.123;-12345.678
0.0001;-0.0002
-0.111;-0.222
0.222;-0.444
-1.1111;2.2222
6.789;-12.345
-0.6789;-0.0123
0.111;-0.333
-1234.5678;5678.1234
9.876;-54.321
-0.123;0.012
0.05;-0.1
-500.0;250.0
123456.789;-987654.321
-78901.234;-123456.789
0.00001;-0.00002
-0.1234;-0.5678
0.5678;-0.1111
-1.2345;2.3456
6.7890;-1.2345
-0.6789;0.1234
0.0002;-0.0001
-0.222;-0.111
0.444;-0.222
-1234.5678;5678.1234
9.8765;-4.321
